,CAC_pct,DAX_pct,FTSE_pct,Hang Seng_pct,NIFTY_pct,Nikkei_pct,Shanghai Composite_pct,CAC_shock,DAX_shock,FTSE_shock,Hang Seng_shock,NIFTY_shock,Nikkei_shock,Shanghai Composite_shock,Weighted_Global_Move,Weighted_Shock_Score,Global_Volatility_5d,Europe_vs_Asia
2015-04-02 00:00:00+00:00,0.567782,0.294246,0.538904,0.769017,0.0,1.460213,0.40653,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.51855945,0.15,0.634894732509565,-0.19196266666666661
2015-04-06 00:00:00+00:00,0.235468,-0.283219,0.352449,0.0,0.857771,-0.19089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33090357500000006,0.0,0.5333184863147906,-0.06515424999999998
2015-04-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.004612,1.250432,2.522018,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3155105,0.2,0.2303196880812745,-0.9442655
2015-04-08 00:00:00+00:00,1.51848,1.304628,1.877512,3.802945,0.624696,0.760017,0.843977,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.7114166,0.375,0.5881530509152983,0.05896458333333343
2015-04-09 00:00:00+00:00,-0.27819,-0.723051,-0.350483,2.696707,0.733262,0.747406,-0.933138,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1252157249999997,0.3,0.6063075303701752,-1.2616339166666666
2015-04-10 00:00:00+00:00,1.403393,1.084925,1.124341,1.217322,0.023351,-0.150919,1.939999,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5673241,0.07500000000000001,0.6010111594404104,0.4467814166666666
2015-04-13 00:00:00+00:00,0.604916,1.712005,1.060523,2.727847,0.611028,-0.0109,2.166536,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.2804062749999998,0.375,0.5603915020852883,-0.24781308333333318
2015-04-14 00:00:00+00:00,0.260667,-0.290915,-0.359672,-1.623515,0.0,0.01617,0.336028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4865674,0.0,0.8468773271031292,0.18785591666666665
2015-04-15 00:00:00+00:00,-0.68632,-0.900667,0.155713,0.208008,0.0,-0.195492,-1.242922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06095652500000001,0.0,0.7568580247599199,-0.16948983333333334
2015-04-16 00:00:00+00:00,0.69547,0.030588,0.303874,0.437711,-1.441021,0.080574,2.709494,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.2641891500000001,0.45,0.7170930786831102,-0.1033788333333332
2015-04-17 00:00:00+00:00,-0.568288,-1.900687,-0.511495,-0.312158,-1.156583,-1.171132,2.204447,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.7090271749999999,0.07500000000000001,0.7811637343893649,-0.8846335
2015-04-20 00:00:00+00:00,-1.554802,-2.584913,-0.93336,-2.018541,-1.834771,-0.093577,-1.637833,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.5855597750000001,0.75,0.5910073615413113,-0.29484449999999995
2015-04-21 00:00:00+00:00,0.861906,1.738516,0.822063,2.788568,-0.832727,1.398557,1.815141,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9101339,0.44999999999999996,0.9129661953940592,-0.15155641666666697
2015-04-22 00:00:00+00:00,0.097353,0.40086,0.153143,0.29931,0.620097,1.129185,2.442485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6494462750000001,0.05,1.016976022664438,-0.9056505833333335
