,CAC_pct,DAX_pct,FTSE_pct,Hang Seng_pct,NIFTY_pct,Nikkei_pct,Shanghai Composite_pct,CAC_shock,DAX_shock,FTSE_shock,Hang Seng_shock,NIFTY_shock,Nikkei_shock,Shanghai Composite_shock,Weighted_Global_Move,Weighted_Shock_Score,Global_Volatility_5d,Europe_vs_Asia,Predicted_Direction,True_Direction
2023-02-17 00:00:00+00:00,0.894419,0.176056,0.183803,-1.27627,-0.508157,-0.661849,-0.769769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.687957575,0.0,0.5239484234490026,1.2221039166666667,0,0
2023-02-21 00:00:00+00:00,-0.250333,-0.332438,-0.101093,-1.711454,-0.100313,-0.213715,0.49174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5806555750000001,0.0,0.5556845603352146,0.15548083333333337,0,0
2023-02-22 00:00:00+00:00,-0.367522,-0.516423,-0.455436,-0.514627,-1.528036,-1.342329,-0.464843,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0350644249999998,0.55,0.5514072810037887,0.5159984166666667,0,1
2023-02-23 00:00:00+00:00,-0.12848,0.014739,-0.591638,-0.35493,-0.245243,0.0,-0.111509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24257707499999998,0.0,0.5559415634305753,-0.057205833333333345,1,2
2023-02-24 00:00:00+00:00,0.248935,0.492216,-0.288754,-1.67709,-0.259543,1.288208,-0.618105,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.44052717500000005,0.15,0.2960319158798836,0.4674315,0,0
2023-02-27 00:00:00+00:00,-1.778769,-1.718503,-0.366731,-0.33248,-0.418541,-0.107526,-0.279444,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.40302985,0.05,0.30160281595249744,-1.00350325,1,2
2023-02-28 00:00:00+00:00,1.50655,1.128813,0.715853,-0.790083,-0.510272,0.078762,0.662366,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.294524375,0.025,0.31870850109188503,1.25687875,1,1
2023-03-01 00:00:00+00:00,-0.378582,-0.105907,-0.741015,4.21396,0.849235,0.25858,0.998289,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.643420475,0.3,0.892903631503657,-1.9885173333333335,2,1
2023-03-02 00:00:00+00:00,-0.463408,-0.391276,0.490079,-0.922661,-0.739217,-0.06418,-0.051329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5815416999999999,0.0,0.9328855902320539,0.32281175,0,0
2023-03-03 00:00:00+00:00,0.690745,0.147795,0.367662,0.675877,1.57286,1.558615,0.535846,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.1318382500000004,0.55,1.0150808432448402,-0.6837321666666667,2,2
2023-03-06 00:00:00+00:00,0.877237,1.635934,0.039024,0.173333,0.665552,1.111123,-0.191079,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.540115675,0.175,0.9365500466630459,0.4109994166666668,2,2
2023-03-07 00:00:00+00:00,0.341446,0.482659,-0.217693,-0.333487,0.0,0.252785,-1.111668,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.107993775,0.05,0.9006193724961803,0.5002298333333334,0,1
2023-03-08 00:00:00+00:00,-0.460314,-0.60082,-0.129887,-2.353264,0.242505,0.476981,-0.056318,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5732686499999998,0.3,0.7446127188220519,0.025516999999999956,0,1
2023-03-09 00:00:00+00:00,-0.197707,0.464923,0.13132,-0.625945,-0.928225,0.629165,-0.218074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46235605,0.0,0.7195533014450098,0.4186150833333333,0,1
2023-03-10 00:00:00+00:00,-0.121231,0.008571,-0.629263,-3.04039,-1.004566,-1.674098,-1.404418,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.66955865,0.49999999999999994,0.8062043901143385,1.5335603333333332,0,1
2023-03-13 00:00:00+00:00,-1.301415,-1.312848,-1.670052,1.946441,-1.485104,-1.105067,1.195632,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-0.26494692500000006,0.7000000000000002,0.6157771802572582,-1.5660804999999998,2,0
2023-03-14 00:00:00+00:00,-2.896822,-3.036693,-2.578594,-2.274626,-0.647068,-2.194958,-0.715572,1.0,1.0,1.0,1.0,0.0,1.0,0.0,-1.5835048749999998,0.5499999999999999,0.6634007262181189,-1.379313666666667,0,2
2023-03-15 00:00:00+00:00,1.855093,1.82734,1.172403,1.516567,-0.417468,0.027336,0.554647,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.470496625,0.1,0.9132926052513345,1.1980081666666669,0,0
2023-03-16 00:00:00+00:00,-3.582684,-3.266434,-3.831298,-1.719351,0.079243,-0.803802,-1.11605,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.02327375,0.1,0.9109479394326229,-2.6701486666666665,2,1
2023-03-17 00:00:00+00:00,2.033345,1.573368,0.891824,1.638623,0.673813,1.196492,0.733219,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1120058750000001,0.025,1.0897566993709509,0.43897558333333353,2,1
2023-03-20 00:00:00+00:00,-1.427901,-1.328911,-1.006749,-2.65326,-0.652924,-1.419924,-0.481154,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.41345165,0.44999999999999996,1.2064248031523985,0.047295166666666555,0,1
2023-03-21 00:00:00+00:00,1.266934,1.118482,0.933828,1.358101,0.701064,0.0,0.64113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8262392000000001,0.0,1.138570756762754,0.4313409166666665,0,2
2023-03-22 00:00:00+00:00,1.422616,1.754191,1.7869,1.727369,0.259538,1.933296,0.310233,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.096297125,0.2,1.2343574661528165,0.5969599999999997,2,1
2023-03-23 00:00:00+00:00,0.256013,0.137217,0.406035,2.338834,-0.437269,-0.171117,0.639973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5632061999999999,0.0,1.0585263341231195,-0.32618358333333336,1,2
2023-03-24 00:00:00+00:00,0.114006,-0.038122,-0.888086,-0.668146,-0.772093,-0.125309,-0.638948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.60253195,0.0,1.0628376467920073,0.28039000000000003,0,1
2023-03-27 00:00:00+00:00,-1.738977,-1.664383,-1.254735,-1.747318,0.239884,0.334557,-0.43636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.547697,0.0,0.7918392005950987,-1.1503890833333335,0,1
2023-03-28 00:00:00+00:00,0.900485,1.139577,0.895278,1.108771,-0.200168,0.150603,-0.185152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3616624,0.0,0.7350474275422361,0.7599331666666667,0,1
2023-03-29 00:00:00+00:00,0.142264,0.094792,0.167296,2.060941,0.760986,1.328316,-0.16392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1280193000000003,0.0,0.7450648587608867,-0.8617967499999999,2,2
2023-03-30 00:00:00+00:00,1.391728,1.233394,1.068904,0.578091,0.0,-0.361678,0.653998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27094875,0.0,0.7185296121615679,1.0137392500000002,1,2
2023-03-31 00:00:00+00:00,1.062752,1.263115,0.741643,0.447969,1.63372,0.93061,0.356002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.040499125,0.4,0.6789070659511138,0.18042808333333304,2,1
2023-04-03 00:00:00+00:00,0.812571,0.685715,0.14829,0.044462,0.22063,0.523046,0.719242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26088125,0.0,0.4336345970736056,0.17201366666666673,1,0
